ID,Gender,WH,random_int_1
360,m,21,1614
361,m,4,1605
362,f,57,1598
363,m,15,1604
364,f,52,1596
365,f,29,1593
366,f,17,1618
367,f,11,1625
368,m,33,1623
369,m,55,1591
370,f,18,1593
371,f,35,1600
372,f,5,1587
373,f,19,1587
374,f,10,1599
375,m,47,1605
376,m,59,1595
377,m,5,1621
378,f,47,1606
379,m,9,1609
380,m,59,1614
381,f,56,1620
382,f,33,1599
383,f,15,1603
384,m,45,1604
385,f,58,1601
386,f,45,1591
387,f,53,1604
388,m,28,1590
389,m,46,1589
390,m,16,1616
391,m,9,1622
392,f,11,1615
393,f,8,1618
394,f,6,1624
395,f,35,1600
396,f,8,1603
397,f,59,1586
398,f,12,1597
399,f,20,1590
400,f,42,1610
401,m,16,1589
402,m,52,1600
403,f,47,1595
404,f,36,1624
405,f,11,1614
406,m,15,1610
407,f,59,1593
408,m,18,1616
409,m,8,1624
410,m,3,1608
411,f,25,1603
412,m,55,1593
413,f,9,1604
414,m,35,1612
415,m,37,1622
416,m,16,1604
417,m,33,1588
418,f,6,1600
419,m,25,1625
420,m,12,1616
421,f,38,1596
422,m,41,1601
423,f,13,1615
424,f,43,1589
425,f,59,1586
426,f,26,1623
427,m,42,1604
428,f,48,1607
429,m,27,1624
430,m,46,1621
431,f,37,1591
432,f,5,1587
433,m,24,1612
434,m,19,1597
435,m,41,1604
436,m,12,1608
437,m,51,1621
438,m,32,1599
439,m,14,1625
440,m,17,1589
441,m,35,1589
442,m,22,1587
443,f,56,1588
444,m,45,1596
445,f,26,1616
446,f,20,1589
447,m,18,1622
448,m,25,1620
449,m,55,1600
450,m,25,1586
451,f,32,1619
452,m,13,1619
453,m,37,1616
454,f,57,1622
455,m,59,1615
456,m,52,1590
457,f,15,1616
458,m,57,1592
459,m,24,1620
460,f,49,1607
461,f,5,1590
462,f,17,1589
463,f,39,1599
464,f,0,1607
465,f,9,1610
466,m,6,1621
467,m,1,1616
468,m,16,1606
469,m,30,1614
470,f,41,1608
471,f,38,1625
472,m,57,1588
473,m,54,1600
474,f,15,1614
475,f,43,1586
476,m,2,1616
477,f,55,1609
478,f,8,1588
479,f,31,1601
480,m,45,1591
481,f,44,1595
482,f,18,1623
483,f,19,1601
484,m,37,1620
485,m,39,1619
486,m,10,1591
487,m,26,1588
488,m,6,1614
489,f,41,1597
490,m,46,1595
491,m,33,1602
492,f,28,1620
493,f,0,1602
494,m,4,1587
495,f,48,1624
496,f,31,1624
497,f,18,1622
498,m,9,1595
499,m,49,1596
500,f,30,1601
501,f,31,1614
502,f,6,1615
503,m,0,1603
504,f,23,1591
505,m,0,1614
506,f,3,1608
507,m,19,1608
508,f,10,1624
509,m,28,1625
510,f,2,1619
511,f,29,1622
512,m,5,1612
513,m,36,1598
514,m,37,1597
515,m,14,1600
516,m,54,1598
517,f,36,1596
518,f,12,1602
519,f,34,1598
520,f,54,1596
521,m,20,1606
522,f,12,1607
523,f,55,1614
524,f,55,1621
525,f,29,1604
526,m,56,1622
527,m,20,1589
528,f,41,1617
529,m,35,1619
530,f,5,1594
531,m,53,1587
532,m,46,1593
533,m,33,1592
534,f,22,1621
535,m,22,1597
536,f,23,1604
537,f,44,1603
538,m,10,1591
539,f,35,1618
540,f,36,1614
541,f,33,1610
542,f,20,1595
543,f,53,1597
544,f,5,1613
545,f,34,1596
546,f,34,1589
547,m,46,1622
548,m,8,1615
549,m,6,1589
550,f,44,1591
551,m,37,1619
552,m,14,1611
553,m,0,1587
554,f,54,1586
555,f,48,1620
556,f,10,1618
557,m,15,1624
558,m,57,1615
559,m,15,1589
560,f,35,1602
561,f,8,1586
562,m,24,1589
563,m,56,1598
564,m,55,1623
565,m,59,1588
566,f,20,1598
567,f,16,1624
568,f,55,1598
569,f,40,1604
570,f,13,1597
571,f,0,1604
572,m,57,1612
573,m,56,1608
574,f,25,1589
575,f,22,1600
576,f,19,1619
577,m,24,1611
578,m,24,1625
579,m,18,1590
580,m,46,1618
581,f,17,1601
582,m,43,1621
583,f,18,1625
584,f,19,1624
585,m,0,1622
586,m,18,1620
587,m,36,1588
588,m,29,1605
589,m,1,1596
590,m,8,1624
591,m,47,1599
592,m,51,1596
593,m,43,1621
594,m,46,1598
595,m,8,1612
596,m,55,1604
597,f,1,1609
598,m,45,1620
599,f,11,1595
600,m,18,1594
601,m,56,1608
602,f,52,1619
603,f,54,1595
604,f,52,1599
605,m,10,1612
606,f,5,1596
607,f,22,1607
608,m,44,1601
609,m,47,1621
610,m,58,1613
611,f,57,1600
612,f,44,1606
613,m,11,1600
614,f,4,1596
615,f,51,1606
616,f,3,1589
617,m,10,1622
618,f,27,1624
619,f,53,1615
620,m,36,1586
621,m,25,1625
622,m,33,1593
623,f,34,1606
624,m,30,1620
625,f,36,1620
626,f,7,1596
627,m,16,1604
628,f,55,1594
629,m,44,1624
630,m,58,1622
631,m,34,1618
632,m,27,1605
633,f,48,1624
634,m,43,1595
635,m,6,1603
636,m,7,1609
637,m,26,1600
638,m,1,1588
639,m,46,1586
640,f,35,1618
641,f,24,1593
642,f,38,1606
643,m,53,1615
644,f,14,1592
645,f,52,1624
646,f,56,1587
647,m,44,1624
648,m,43,1603
649,f,16,1615
650,m,36,1587
651,f,41,1609
652,f,34,1600
653,m,25,1594
654,f,3,1614
655,m,5,1615
656,f,49,1593
657,f,6,1621
658,m,5,1615
659,m,44,1598
660,f,3,1614
661,f,0,1605
662,f,32,1617
663,f,42,1587
664,m,4,1623
665,f,48,1620
666,m,51,1612
667,f,6,1589
668,m,2,1590
669,m,37,1596
670,f,22,1596
671,m,5,1597
672,m,55,1603
673,m,8,1604
674,m,25,1611
675,f,48,1620
676,f,5,1594
677,m,51,1596
678,m,9,1598
679,f,2,1592
680,m,56,1609
681,m,0,1588
682,f,42,1598
683,m,50,1595
684,m,20,1586
685,m,36,1616
686,f,18,1602
687,f,48,1612
688,f,42,1619
689,m,32,1601
690,m,22,1610
691,f,24,1592
692,f,33,1608
693,m,59,1592
694,m,8,1617
695,f,12,1624
696,f,55,1615
697,m,20,1595
698,f,49,1606
699,f,14,1599
700,f,34,1614
701,m,54,1625
702,m,49,1586
703,m,50,1609
704,f,14,1617
705,m,2,1615
706,f,15,1606
707,m,55,1613
708,f,59,1603
709,m,15,1616
710,f,9,1605
711,m,45,1596
712,m,25,1609
713,f,44,1620
714,f,10,1598
715,f,12,1598
716,m,32,1617
717,f,23,1612
718,m,1,1614
719,m,42,1603
720,f,55,1589
721,m,1,1593
722,f,3,1625
723,m,1,1614
724,m,45,1587
725,m,12,1608
726,f,30,1588
727,f,25,1595
728,f,32,1623
729,m,53,1620
730,f,30,1590
731,f,16,1622
732,f,54,1624
733,m,52,1597
734,m,25,1606
735,m,9,1599
736,m,39,1595
737,m,33,1617
738,f,29,1619
739,m,32,1598
740,m,10,1618
741,m,4,1624
742,m,45,1587
743,m,15,1613
744,f,37,1619
745,f,25,1621
746,f,24,1616
747,m,38,1596
748,m,48,1620
749,m,41,1592
750,m,57,1624
751,m,35,1594
752,f,51,1602
753,f,51,1596
754,f,10,1614
755,m,6,1600
756,m,55,1622
757,m,25,1600
758,m,38,1598
759,f,56,1622
760,f,54,1611
761,m,16,1625
762,m,40,1594
763,f,46,1589
764,f,53,1600
765,m,20,1598
766,m,34,1607
767,f,42,1589
768,m,18,1588
769,m,38,1621
770,f,21,1625
771,m,51,1589
772,f,3,1594
773,m,25,1613
774,f,54,1611
775,f,38,1620
776,f,22,1608
777,f,5,1614
778,m,9,1586
779,m,28,1600
780,f,44,1623
781,m,37,1605
782,m,13,1625
783,f,55,1589
784,f,5,1594
785,f,59,1618
786,m,30,1598
787,f,29,1604
788,f,50,1589
789,m,28,1620
790,m,17,1589
791,m,39,1599
792,m,14,1625
793,f,10,1622
794,m,32,1591
795,m,46,1609
796,f,18,1600
797,f,30,1612
798,m,31,1617
799,m,32,1613
800,f,20,1606
801,m,12,1614
802,m,44,1598
803,m,14,1610
804,f,20,1623
805,m,5,1591
806,m,7,1589
807,f,38,1597
808,f,40,1604
809,m,10,1616
810,f,45,1595
811,f,5,1608
812,f,29,1591
813,m,11,1619
814,f,39,1624
815,m,8,1622
816,m,17,1610
817,m,11,1619
818,f,34,1603
819,m,35,1610
820,f,8,1602
821,f,21,1614
822,f,11,1597
823,f,51,1620
824,m,40,1592
825,f,14,1619
826,m,2,1601
827,f,28,1591
828,m,24,1619
829,f,59,1618
830,m,3,1621
831,m,41,1619
832,f,43,1609
833,m,37,1619
834,f,14,1594
835,f,4,1611
836,m,47,1603
837,m,40,1605
838,f,50,1610
839,f,40,1623
840,m,52,1617
841,m,12,1595
842,m,13,1606
843,m,56,1595
844,m,50,1595
845,m,32,1622
846,f,49,1619
847,f,29,1595
848,f,43,1594
849,f,26,1591
850,f,38,1612
851,m,32,1610
852,m,37,1611
853,m,38,1586
854,f,34,1593
855,f,47,1624
856,f,15,1623
857,f,8,1586
858,m,4,1615
859,m,59,1601
860,m,16,1617
861,f,12,1592
862,m,30,1616
863,m,50,1625
864,m,2,1611
865,f,38,1617
866,f,45,1602
867,f,14,1597
868,m,25,1612
869,f,0,1586
870,m,23,1617
871,f,2,1602
872,m,43,1606
873,f,10,1587
874,f,14,1587
875,f,22,1595
876,f,29,1601
877,f,20,1603
878,m,5,1592
879,m,33,1590
880,m,46,1614
881,m,44,1619
882,f,38,1605
883,m,25,1595
884,f,55,1617
885,f,8,1600
886,m,24,1614
887,m,40,1590
888,m,39,1619
889,m,46,1605
890,m,56,1587
891,f,15,1618
892,f,27,1621
893,f,54,1617
894,f,5,1625
895,m,51,1586
896,f,36,1622
897,m,6,1597
898,f,39,1611
899,f,27,1615
900,f,30,1608
901,m,37,1616
902,m,58,1608
903,f,50,1587
904,m,7,1587
905,f,16,1596
906,m,40,1589
907,m,0,1608
908,m,5,1623
909,f,33,1610
910,m,6,1608
911,m,9,1622
912,m,33,1617
913,f,19,1591
914,f,0,1612
915,m,18,1617
916,m,43,1604
917,f,15,1600
918,m,32,1597
919,f,26,1599
920,m,40,1620
921,f,32,1586
922,f,36,1616
923,m,45,1592
924,m,5,1598
925,f,14,1609
926,f,48,1622
927,m,58,1590
928,f,3,1587
929,m,24,1611
930,f,17,1591
931,m,12,1604
932,m,51,1609
933,m,25,1607
934,f,47,1592
935,m,11,1589
936,f,58,1622
937,m,42,1608
938,m,6,1596
939,m,0,1600
940,f,22,1613
941,f,37,1586
942,m,46,1586
943,f,36,1605
944,f,29,1603
945,m,31,1618
946,f,53,1599
947,m,49,1622
948,m,58,1614
949,m,31,1614
950,m,57,1619
951,f,36,1602
952,m,14,1590
953,f,19,1607
954,m,11,1587
955,m,11,1597
956,m,10,1591
957,m,52,1606
958,f,39,1618
959,m,7,1602
960,m,37,1588
961,f,32,1624
962,m,2,1606
963,f,27,1612
964,m,50,1607
965,m,29,1615
966,m,26,1590
967,m,29,1606
968,m,8,1596
969,f,53,1587
970,m,36,1606
971,f,42,1609
972,f,35,1598
973,f,43,1606
974,m,57,1616
975,f,23,1615
976,m,45,1607
977,f,32,1616
978,m,37,1622
979,m,21,1600
980,m,6,1606
981,m,1,1617
982,f,55,1595
983,m,8,1615
984,f,50,1591
985,m,4,1622
986,f,45,1595
987,f,2,1587
988,m,1,1624
989,m,57,1622
990,f,39,1621
991,f,47,1592
992,f,33,1619
993,m,32,1586
994,f,47,1603
995,f,24,1589
996,m,47,1610
997,f,54,1617
998,m,13,1605
999,f,41,1610
1000,f,25,1588
1001,m,31,1621
1002,f,21,1595
1003,f,39,1600
1004,m,8,1614
1005,m,59,1596
1006,m,5,1594
1007,m,8,1590
1008,m,18,1595
1009,m,32,1601
1010,f,20,1618
1011,m,58,1617
1012,m,43,1587
1013,f,25,1602
1014,f,55,1624
1015,m,3,1618
1016,m,23,1603
1017,f,40,1594
1018,f,50,1598
1019,f,19,1616
1020,f,48,1615
1021,m,24,1598
1022,m,11,1588
1023,m,6,1602
1024,m,8,1596
1025,f,57,1616
1026,m,8,1595
1027,m,22,1596
1028,m,44,1610
1029,m,36,1590
1030,f,38,1621
1031,m,14,1593
1032,m,55,1614
1033,m,20,1600
1034,m,59,1596
1035,f,29,1616
1036,f,14,1619
1037,f,39,1595
1038,m,50,1603
1039,f,31,1609
1040,f,7,1616
1041,f,38,1592
1042,f,20,1591
1043,m,33,1607
1044,m,35,1617
1045,m,36,1608
1046,m,40,1604
1047,m,12,1615
1048,m,14,1623
1049,m,36,1601
1050,m,54,1608
1051,m,55,1597
1052,m,54,1591
1053,f,57,1619
1054,m,48,1594
1055,m,31,1612
1056,m,43,1595
1057,m,23,1586
1058,m,31,1603
1059,f,35,1591
1060,f,7,1595
1061,m,47,1618
1062,f,19,1609
1063,m,9,1586
1064,m,46,1621
1065,f,12,1624
1066,m,26,1616
1067,m,21,1613
1068,m,51,1606
1069,m,35,1596
1070,m,10,1625
1071,m,32,1591
1072,f,41,1590
1073,f,18,1594
1074,f,6,1604
1075,f,1,1619
1076,f,37,1598
1077,m,53,1598
1078,m,36,1591
1079,f,57,1591
1080,f,33,1612
1081,m,55,1593
1082,f,54,1608
1083,m,40,1625
1084,m,53,1592
1085,f,30,1586
1086,f,34,1595
1087,m,24,1590
1088,f,44,1591
1089,m,36,1599
1090,f,31,1595
1091,m,4,1589
1092,m,15,1595
1093,f,18,1608
1094,m,48,1616
1095,f,10,1618
1096,m,24,1624
1097,f,26,1593
1098,m,48,1596
1099,f,23,1588
1100,m,20,1608
1101,f,29,1613
1102,m,40,1609
1103,f,34,1612
1104,f,59,1608
1105,f,44,1611
1106,m,19,1590
1107,m,44,1609
1108,m,35,1599
1109,m,54,1624
1110,f,40,1614
1111,m,13,1616
1112,m,41,1611
1113,f,56,1591
1114,m,23,1610
1115,m,23,1604
1116,f,24,1587
1117,f,52,1588
1118,m,54,1611
1119,m,54,1606
1120,f,58,1608
1121,f,21,1598
1122,m,32,1597
1123,f,33,1624
1124,m,1,1620
1125,m,50,1620
1126,m,13,1590
1127,f,29,1595
1128,f,7,1596
1129,f,19,1596
1130,f,4,1606
1131,f,52,1603
1132,f,21,1619
1133,m,5,1614
1134,m,33,1588
1135,f,4,1599
1136,m,26,1611
1137,f,8,1612
1138,f,23,1610
1139,m,31,1610
1140,m,39,1595
1141,m,48,1607
1142,m,14,1597
1143,f,47,1595
1144,m,47,1612
1145,m,45,1603
1146,f,37,1619
1147,f,51,1615
1148,m,56,1612
1149,f,49,1602
1150,f,5,1606
1151,m,2,1620
1152,f,7,1592
1153,f,13,1610
1154,m,31,1615
1155,f,38,1595
1156,f,23,1598
1157,f,31,1623
1158,m,46,1625
1159,f,39,1591
1160,m,41,1591
1161,f,34,1619
1162,f,26,1599
1163,f,58,1612
1164,f,22,1609
1165,f,17,1611
1166,m,2,1613
1167,m,33,1594
1168,m,51,1618
1169,m,1,1625
1170,m,55,1601
1171,f,27,1600
1172,f,19,1610
1173,m,51,1621
1174,m,53,1606
1175,m,53,1612
1176,f,30,1606
1177,f,12,1599
1178,f,17,1607
1179,f,37,1607
1180,f,48,1623
1181,m,31,1587
1182,m,56,1617
1183,m,17,1601
1184,f,33,1608
1185,f,50,1609
1186,f,38,1595
1187,f,39,1605
1188,m,28,1593
1189,f,19,1592
1190,m,33,1599
1191,m,43,1595
1192,f,18,1596
1193,f,50,1607
1194,m,9,1588
1195,f,58,1596
1196,m,46,1594
1197,m,14,1597
1198,m,54,1622
1199,m,40,1593
1200,f,42,1625
1201,f,49,1600
1202,f,33,1589
1203,f,12,1601
1204,f,14,1588
1205,m,29,1603
1206,f,28,1608
1207,m,58,1592
1208,f,59,1604
1209,f,43,1608
1210,m,28,1609
1211,m,59,1602
1212,f,2,1619
1213,f,27,1616
1214,f,0,1600
1215,m,23,1601
1216,f,16,1593
1217,f,20,1623
1218,f,29,1593
1219,f,37,1612
1220,f,52,1588
1221,m,3,1625
1222,f,23,1587
1223,m,1,1614
1224,f,39,1590
1225,m,34,1588
1226,m,13,1589
1227,m,40,1588
1228,m,36,1589
1229,f,43,1599
1230,f,26,1587
1231,m,1,1613
1232,m,36,1596
1233,m,45,1590
1234,f,41,1602
1235,m,49,1607
1236,f,3,1611
1237,m,40,1603
1238,f,3,1607
1239,m,46,1610
1240,m,10,1604
1241,m,52,1605
1242,m,51,1597
1243,m,35,1621
1244,m,8,1624
1245,f,37,1593
1246,m,30,1599
1247,f,33,1609
1248,m,40,1623
1249,f,23,1588
1250,m,25,1597
1251,f,52,1588
1252,m,13,1591
1253,f,55,1600
1254,f,45,1607
1255,f,30,1605
1256,m,16,1597
1257,f,18,1625
1258,f,46,1597
1259,m,20,1610
1260,f,19,1596
1261,m,5,1605
1262,m,2,1604
1263,f,20,1589
1264,m,45,1588
1265,m,31,1600
1266,f,17,1599
1267,f,51,1592
1268,f,24,1600
1269,f,11,1594
1270,f,36,1610
1271,f,18,1594
1272,m,22,1597
1273,f,16,1614
1274,f,37,1616
1275,m,16,1600
1276,f,9,1603
1277,m,30,1625
1278,m,57,1600
1279,m,53,1611
1280,f,8,1608
1281,m,43,1612
1282,m,20,1595
1283,f,26,1587
1284,f,49,1619
1285,f,52,1600
1286,f,20,1601
1287,m,52,1607
1288,f,4,1621
1289,f,5,1608
1290,m,31,1595
1291,f,2,1599
1292,f,48,1598
1293,f,58,1592
1294,f,4,1616
1295,m,54,1614
1296,f,31,1609
1297,f,23,1613
1298,f,13,1615
1299,m,42,1618
1300,m,13,1595
1301,m,45,1594
1302,m,41,1620
1303,f,34,1611
1304,m,34,1594
1305,m,37,1587
1306,m,27,1605
1307,f,25,1624
1308,f,15,1607
1309,m,4,1612
1310,f,21,1611
1311,m,4,1587
1312,m,26,1591
1313,m,14,1596
1314,f,26,1611
1315,m,11,1608
1316,m,41,1590
1317,m,36,1589
1318,f,13,1618
1319,f,5,1588
1320,f,48,1601
1321,f,16,1596
1322,f,40,1606
1323,m,26,1592
1324,m,18,1615
1325,f,48,1620
1326,f,40,1596
1327,m,43,1597
1328,f,32,1619
1329,f,46,1595
1330,m,17,1606
1331,f,9,1604
1332,f,48,1614
1333,f,38,1589
1334,m,5,1587
1335,m,44,1607
1336,f,3,1621
1337,f,17,1618
1338,m,20,1612
1339,f,21,1607
1340,f,6,1617
1341,m,9,1586
1342,f,37,1602
1343,m,41,1587
1344,f,6,1623
1345,f,11,1623
1346,m,50,1607
1347,f,16,1596
1348,m,57,1617
1349,f,22,1600
1350,f,9,1586
1351,m,13,1617
1352,f,14,1619
1353,f,57,1595
1354,f,25,1603
1355,f,43,1602
1356,f,22,1624
1357,f,42,1622
1358,f,6,1594
1359,f,25,1604
1360,m,7,1601
1361,m,47,1611
1362,f,42,1613
1363,f,27,1624
1364,m,30,1596
1365,m,46,1608
1366,f,14,1596
1367,f,35,1593
1368,f,27,1618
1369,f,5,1593
1370,m,5,1596
1371,f,41,1602
1372,m,44,1592
1373,f,47,1622
1374,m,11,1617
1375,f,58,1612
1376,f,12,1607
1377,f,21,1607
1378,m,28,1606
1379,m,22,1599
1380,m,10,1597
1381,m,30,1625
1382,m,25,1619
1383,m,54,1596
1384,m,18,1596
1385,m,43,1612
1386,m,24,1606
1387,m,8,1599
1388,m,52,1615
1389,f,30,1618
1390,f,40,1624
1391,m,52,1619
1392,f,45,1591
1393,f,21,1620
1394,f,43,1608
1395,m,23,1593
1396,m,54,1610
1397,f,19,1616
1398,f,21,1593
1399,f,27,1622
1400,f,39,1592
1401,m,40,1602
1402,m,6,1612
1403,f,22,1612
1404,m,22,1589
1405,m,53,1603
1406,f,37,1594
1407,f,45,1609
1408,m,17,1587
1409,f,2,1623
1410,m,15,1596
1411,f,35,1608
1412,m,28,1616
1413,m,39,1598
1414,f,19,1611
1415,f,54,1607
1416,m,49,1617
1417,m,33,1621
1418,m,51,1586
1419,f,59,1617
1420,f,54,1601
1421,m,35,1611
1422,f,49,1591
1423,m,23,1623
1424,m,14,1606
1425,m,34,1602
1426,f,48,1586
1427,m,39,1624
1428,f,0,1615
1429,m,27,1602
1430,f,15,1610
1431,m,26,1623
1432,f,54,1625
1433,f,43,1598
1434,f,54,1617
1435,m,51,1593
1436,f,50,1604
1437,f,25,1604
1438,m,58,1605
1439,f,45,1596
1440,m,3,1588
1441,f,6,1586
1442,m,57,1611
1443,f,34,1618
1444,m,7,1611
1445,m,10,1595
1446,m,24,1619
1447,f,46,1589
1448,m,58,1622
1449,m,43,1618
1450,m,9,1600
1451,f,59,1616
1452,f,1,1604
1453,m,37,1617
1454,f,52,1596
1455,m,32,1618
1456,m,36,1599
1457,m,4,1586
1458,m,15,1593
1459,m,16,1621
1460,m,17,1597
1461,f,3,1593
1462,m,6,1623
1463,m,41,1588
1464,m,52,1595
1465,f,23,1618
1466,f,42,1622
1467,m,17,1620
1468,f,10,1595
1469,f,9,1624
1470,f,4,1589
1471,m,49,1600
1472,f,10,1624
1473,f,19,1602
1474,m,56,1604
1475,f,50,1615
1476,f,13,1602
1477,m,29,1619
1478,m,31,1612
1479,f,4,1589
1480,f,0,1625
1481,f,14,1605
1482,m,6,1610
1483,m,58,1624
1484,m,19,1611
1485,m,59,1586
1486,f,0,1620
1487,f,46,1588
1488,m,8,1587
1489,m,46,1613
1490,m,37,1592
1491,f,16,1616
1492,f,38,1618
1493,m,17,1617
1494,m,43,1621
1495,f,55,1613
1496,m,39,1593
